# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
2.1550000,1.4050000,1.3792291,-0.0197664,-7.0417232,-8.6410690,-0.0049920,-0.0331444,-0.1395095,-0.4442312,-1.1703937
2.1600000,1.4100000,1.3842291,-0.0194545,-6.9989150,-8.5814145,-0.0049133,-0.0326215,-0.1373090,-0.4372329,-1.1520188
2.1650000,1.4150000,1.3892291,-0.0191485,-6.9562832,-8.5221527,-0.0048360,-0.0321084,-0.1351499,-0.4303664,-1.1339873
2.1700000,1.4200000,1.3942291,-0.0188483,-6.9138284,-8.4632818,-0.0047602,-0.0316050,-0.1330315,-0.4236287,-1.1162917
2.1750000,1.4250000,1.3992291,-0.0185538,-6.8715514,-8.4047998,-0.0046858,-0.0311111,-0.1309528,-0.4170169,-1.0989249
2.1800000,1.4300000,1.4042291,-0.0182647,-6.8294527,-8.3467048,-0.0046129,-0.0306263,-0.1289129,-0.4105284,-1.0818797
2.1850000,1.4350000,1.4092291,-0.0179810,-6.7875330,-8.2889947,-0.0045412,-0.0301506,-0.1269111,-0.4041605,-1.0651493
2.1900000,1.4400000,1.4142291,-0.0177026,-6.7457928,-8.2316677,-0.0044709,-0.0296838,-0.1249464,-0.3979105,-1.0487269
2.1950000,1.4450000,1.4192291,-0.0174294,-6.7042329,-8.1747218,-0.0044019,-0.0292256,-0.1230180,-0.3917760,-1.0326059
2.2000000,1.4500000,1.4242291,-0.0171612,-6.6628537,-8.1181550,-0.0043342,-0.0287758,-0.1211253,-0.3857544,-1.0167799
2.2050000,1.4550000,1.4292291,-0.0168979,-6.6216558,-8.0619655,-0.0042677,-0.0283344,-0.1192673,-0.3798432,-1.0012426
2.2100000,1.4600000,1.4342291,-0.0166394,-6.5806398,-8.0061511,-0.0042024,-0.0279010,-0.1174434,-0.3740403,-0.9859880
2.2150000,1.4650000,1.4392291,-0.0163857,-6.5398061,-7.9507101,-0.0041384,-0.0274756,-0.1156529,-0.3683431,-0.9710100
2.2200000,1.4700000,1.4442291,-0.0161366,-6.4991553,-7.8956404,-0.0040755,-0.0270579,-0.1138950,-0.3627495,-0.9563029
2.2250000,1.4750000,1.4492291,-0.0158921,-6.4586878,-7.8409400,-0.0040137,-0.0266478,-0.1121690,-0.3572574,-0.9418610
2.2300000,1.4800000,1.4542291,-0.0156519,-6.4184040,-7.7866071,-0.0039531,-0.0262451,-0.1104742,-0.3518644,-0.9276787
2.2350000,1.4850000,1.4592291,-0.0154161,-6.3783045,-7.7326397,-0.0038935,-0.0258497,-0.1088101,-0.3465687,-0.9137506
2.2400000,1.4900000,1.4642291,-0.0151846,-6.3383896,-7.6790358,-0.0038351,-0.0254614,-0.1071759,-0.3413680,-0.9000715
2.2450000,1.4950000,1.4692291,-0.0149572,-6.2986597,-7.6257934,-0.0037776,-0.0250801,-0.1055710,-0.3362605,-0.8866360
