# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.3024400,0.3024400,0.3093547,-15.1233958,-13.0049118,-25.6438595,-4.3035472,-18.8452388,177.7662035,3647.7755155,32130.1606042
0.3074400,0.3074400,0.3143547,-14.8365732,-12.6287010,-26.0639376,-4.0779850,-19.1971836,143.2026180,3141.4759249,27944.8782366
0.3124400,0.3124400,0.3193547,-14.4993905,-12.2290462,-26.3022488,-3.8651169,-19.4038446,113.8692204,2704.4472144,24319.4883860
0.3174400,0.3174400,0.3243547,-14.1223090,-11.8141765,-26.3804987,-3.6644772,-19.4803783,88.9955712,2327.0483670,21176.8373053
0.3224400,0.3224400,0.3293547,-13.7153311,-11.3911527,-26.3170350,-3.4755302,-19.4407244,67.9210251,2001.0065042,18450.6649571
0.3274400,0.3274400,0.3343547,-13.2875233,-10.9658154,-26.1281282,-3.2977012,-19.2984942,50.0818205,1719.2199569,16084.0413461
0.3324400,0.3324400,0.3393547,-12.8467628,-10.5428513,-25.8290417,-3.1303982,-19.0674505,34.9986705,1475.5898345,14028.0287682
0.3374400,0.3374400,0.3443547,-12.3996671,-10.1259198,-25.4347861,-2.9730278,-18.7614516,22.2637344,1264.8759998,12240.5375552
0.3424400,0.3424400,0.3493547,-11.9516438,-9.7178015,-24.9603410,-2.8250060,-18.3940475,11.5284781,1082.5739270,10685.3474292
0.3474400,0.3474400,0.3543547,-11.5070061,-9.3205456,-24.4204107,-2.6857663,-17.9779993,2.4943255,924.8094193,9331.2705069
0.3524400,0.3524400,0.3593547,-11.0691162,-8.9356048,-23.8289768,-2.5547641,-17.5249009,-5.0940473,788.2485919,8151.4354071
0.3574400,0.3574400,0.3643547,-10.6405326,-8.5639534,-23.1988775,-2.4314801,-17.0449642,-11.4542897,669.7927207,7122.6748555
0.3624400,0.3624400,0.3693547,-10.2231481,-8.2061864,-22.5415285,-2.3154219,-16.5469555,-16.7714835,567.2004183,6225.0017205
0.3674400,0.3674400,0.3743547,-9.8183125,-7.8626024,-21.8668050,-2.2061250,-16.0382407,-21.2022163,478.3783911,5441.1605927
0.3724400,0.3724400,0.3793547,-9.4269386,-7.5332707,-21.1830521,-2.1031520,-15.5248973,-24.8774530,401.4802347,4756.2438980
0.3774400,0.3774400,0.3843547,-9.0495911,-7.2180857,-20.4971811,-2.0060932,-15.0118583,-27.9052023,334.9126726,4157.3631373
0.3824400,0.3824400,0.3893547,-8.6865598,-6.9168104,-19.8148126,-1.9145647,-14.5030659,-30.3739347,277.2999801,3633.3672224
0.3874400,0.3874400,0.3943547,-8.3379204,-6.6291112,-19.1404377,-1.8282080,-14.0016196,-32.3566100,227.4535185,3173.9954928
0.3924400,0.3924400,0.3993547,-8.0035837,-6.3545852,-18.4775803,-1.7466884,-13.5099130,-33.9145529,193.2107743,2771.5191247
0.3974400,0.3974400,0.4043547,-7.6833346,-6.0927819,-17.8289483,-1.6696940,-13.0297539,-35.1006313,155.8048689,2418.7560708
0.4024400,0.4024400,0.4093547,-7.3768641,-5.8432200,-17.1965703,-1.5969341,-12.5624691,-35.9615702,123.4407361,2109.3920553
0.4074400,0.4074400,0.4143547,-7.0837949,-5.6054004,-16.5819148,-1.5281380,-12.1089926,-36.5394435,95.4523197,1837.9439278
0.4124400,0.4124400,0.4193547,-6.8037011,-5.3788167,-15.9859922,-1.4630537,-11.6699409,-36.8724920,71.2623757,1599.6465018
0.4174400,0.4174400,0.4243547,-6.5361247,-5.1629624,-15.4094417,-1.4014468,-11.2456748,-36.9954891,50.3701746,1390.3552629
0.4224400,0.4224400,0.4293547,-6.2805876,-4.9573373,-14.8526036,-1.3430991,-10.8363513,-36.9398752,32.3413591,1206.4626646
0.4274400,0.4274400,0.4343547,-6.0366018,-4.7614512,-14.3155799,-1.2878074,-10.4419657,-36.7338258,16.7991760,1044.8260664
0.4324400,0.4324400,0.4393547,-5.8036767,-4.5748278,-13.7982838,-1.2353827,-10.0623866,-36.4023436,3.4170547,902.7056527
