# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.2509750,0.2509750,0.4571786,-2.1111667,-5886.1291423,4903.1997938,-0.7005841,-2.6834352,3.3537840,82.5462363,740.5710778
0.2559750,0.2559750,0.4621786,-2.0868650,-5871.2602589,4892.2744709,-0.6706328,-2.7194945,2.3222358,72.8865083,662.2497431
0.2609750,0.2609750,0.4671786,-2.0551620,-5856.4533735,4881.4056568,-0.6418738,-2.7415192,1.3632069,64.2472514,591.8685284
0.2659750,0.2659750,0.4721786,-2.0172174,-5841.7087276,4870.5889775,-0.6143352,-2.7504469,0.4756013,56.5216002,528.6291235
0.2709750,0.2709750,0.4771786,-1.9742048,-5827.0263793,4859.8208631,-0.5880208,-2.7471732,-0.3408272,49.6150422,471.8126177
0.2759750,0.2759750,0.4821786,-1.9272444,-5812.4062427,4849.0983983,-0.5629168,-2.7326712,-1.0859657,43.4435922,420.7718009
0.2809750,0.2809750,0.4871786,-1.8773588,-5797.8481182,4838.4192021,-0.5389969,-2.7080401,-1.7599490,37.9317287,374.9241757
0.2859750,0.2859750,0.4921786,-1.8254491,-5783.3517177,4827.7813302,-0.5162260,-2.6744922,-2.3636987,33.0104506,333.7456185
0.2909750,0.2909750,0.4971786,-1.7722869,-5768.9166844,4817.1831955,-0.4945633,-2.6333029,-2.8992313,28.6158068,296.7646356
0.2959750,0.2959750,0.5021786,-1.7185183,-5754.5426088,4806.6235031,-0.4739640,-2.5857496,-3.3696859,24.6880733,263.5571624
0.3009750,0.3009750,0.5071786,-1.6646729,-5740.2290419,4796.1011977,-0.4543815,-2.5330580,-3.7791248,21.1714962,233.7418580
0.3059750,0.3059750,0.5121786,-1.6111775,-5725.9755052,4785.6154200,-0.4357685,-2.4763621,-4.1322065,18.0143591,206.9758520
0.3109750,0.3109750,0.5171786,-1.5583696,-5711.7814994,4775.1654717,-0.4180776,-2.4166805,-4.4338363,15.1692014,197.0620771
0.3159750,0.3159750,0.5221786,-1.5065110,-5697.6465111,4764.7507860,-0.4012622,-2.3549059,-4.6888646,12.5931993,175.2249546
0.3209750,0.3209750,0.5271786,-1.4558005,-5683.5700181,4754.3709035,-0.3852769,-2.2918053,-4.9018692,10.2487882,155.6113386
0.3259750,0.3259750,0.5321786,-1.4063846,-5669.5514937,4744.0254532,-0.3700779,-2.2280259,-5.0770216,8.1044472,138.0037319
0.3309750,0.3309750,0.5371786,-1.3583672,-5655.5904104,4733.7141355,-0.3556231,-2.1641056,-5.2180280,6.1353427,122.2038305
0.3359750,0.3359750,0.5421786,-1.3118177,-5641.6862423,4723.4367093,-0.3418721,-2.1004852,-5.3281365,4.3234202,108.0311919
0.3409750,0.3409750,0.5471786,-1.2667779,-5627.8384678,4713.1929806,-0.3287865,-2.0375205,-5.4101976,2.6566638,95.3218969
0.3459750,0.3459750,0.5521786,-1.2232673,-5614.0465708,4702.9827936,-0.3163299,-1.9754947,-5.4667557,1.1275714,83.9270055
0.3509750,0.3509750,0.5571786,-1.1812882,-5600.3100423,4692.8060231,-0.3044678,-1.9146290,-5.5001466,-0.2687580,73.7109967
0.3559750,0.3559750,0.5621786,-1.1408292,-5586.6283812,4682.6625684,-0.2931674,-1.8550930,-5.5125763,-1.5363946,64.5504957
0.3609750,0.3609750,0.5671786,-1.1018683,-5573.0010953,4672.5523477,-0.2823980,-1.7970126,-5.5061692,-2.6798170,56.3334385
0.3659750,0.3659750,0.5721786,-1.0643757,-5559.4277018,4662.4752944,-0.2721304,-1.7404786,-5.4829871,-3.7045108,48.9585467
0.3709750,0.3709750,0.5771786,-1.0283154,-5545.9077275,4652.4313532,-0.2623372,-1.6855519,-5.4450254,-4.6170408,42.3347907
0.3759750,0.3759750,0.5821786,-0.9936472,-5532.4407095,4642.4204775,-0.2529926,-1.6322697,-5.3941964,-5.4248045,36.3805679
0.3809750,0.3809750,0.5871786,-0.9603280,-5519.0261945,4632.4426267,-0.2440723,-1.5806497,-5.3323088,-6.1356564,31.0225815
0.3859750,0.3859750,0.5921786,-0.9283126,-5505.6637399,4622.4977647,-0.2355533,-1.5306940,-5.2610490,-6.7575345,26.1946852
0.3909750,0.3909750,0.5971786,-0.8975548,-5492.3529130,4612.5858579,-0.2274142,-1.4823922,-5.1819678,-7.2981571,21.8370536
0.3959750,0.3959750,0.6021786,-0.8680079,-5479.0932910,4602.7068740,-0.2196347,-1.4357241,-5.0964728,-7.7648128,17.8959141
0.4009750,0.4009750,0.6071786,-0.8396253,-5465.8844615,4592.8607812,-0.2121958,-1.3906617,-5.0058272,-8.1642389,14.3238002
0.4059750,0.4059750,0.6121786,-0.8123610,-5452.7260215,4583.0475470,-0.2050796,-1.3471712,-4.9111525,-8.5025733,11.0799998
0.4109750,0.4109750,0.6171786,-0.7861695,-5439.6175778,4573.2671379,-0.1982692,-1.3052143,-4.8134356,-8.7853645,8.1307191
0.4159750,0.4159750,0.6221786,-0.7610066,-5426.5587465,4563.5195184,-0.1917488,-1.2647495,-4.7135374,-9.0176216,5.4485956
