AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
170,IFE170,IFE,1.1593888888889028,-1.3238749999999868,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
171,IFE171,IFE,0.980388888888903,-1.197874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
172,IFE172,IFE,1.1593888888889028,-1.071874999999987,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
173,IFE173,IFE,0.980388888888903,-0.9458749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
174,IFE174,IFE,1.1593888888889028,-0.8198749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
175,IFE175,IFE,0.980388888888903,-0.6938749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
176,IFE176,IFE,1.1593888888889028,-0.5668749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
177,IFE177,IFE,0.980388888888903,-0.440874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
178,IFE178,IFE,1.1593888888889028,-0.3148749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
179,IFE179,IFE,0.980388888888903,-0.18887499999998703,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
180,IFE180,IFE,1.1593888888889028,-0.06287499999998691,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
181,IFE181,IFE,0.980388888888903,0.06312500000001298,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
182,IFE182,IFE,1.1593888888889028,0.1891250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
183,IFE183,IFE,0.980388888888903,0.315125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
184,IFE184,IFE,1.1593888888889028,0.4411250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
185,IFE185,IFE,0.980388888888903,0.567125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
186,IFE186,IFE,1.1593888888889028,0.6931250000000129,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
187,IFE187,IFE,0.980388888888903,0.8191250000000132,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
188,IFE188,IFE,1.1593888888889028,0.9451250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
189,IFE189,IFE,0.980388888888903,1.0721250000000129,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
190,IFE190,IFE,1.1593888888889028,1.1981250000000132,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
191,IFE191,IFE,0.980388888888903,1.324125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
192,IFE192,IFE,1.1593888888889028,1.450125000000013,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
193,IFE193,IFE,1.3373888888889032,-1.449874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
194,IFE194,IFE,1.515388888888903,-1.3238749999999868,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
195,IFE195,IFE,1.3373888888889032,-1.197874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
196,IFE196,IFE,1.515388888888903,-1.071874999999987,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
197,IFE197,IFE,1.3373888888889032,-0.9458749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
198,IFE198,IFE,1.515388888888903,-0.8198749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
199,IFE199,IFE,1.3373888888889032,-0.6938749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
200,IFE200,IFE,1.515388888888903,-0.5668749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
201,IFE201,IFE,1.3373888888889032,-0.440874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
202,IFE202,IFE,1.515388888888903,-0.3148749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
203,IFE203,IFE,1.3373888888889032,-0.18887499999998703,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
204,IFE204,IFE,1.515388888888903,-0.06287499999998691,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
205,IFE205,IFE,1.3373888888889032,0.06312500000001298,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
206,IFE206,IFE,1.515388888888903,0.1891250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
207,IFE207,IFE,1.3373888888889032,0.315125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
208,IFE208,IFE,1.515388888888903,0.4411250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
209,IFE209,IFE,1.3373888888889032,0.567125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
210,IFE210,IFE,1.515388888888903,0.6931250000000129,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
