# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.8225000,0.8225000,0.8225000,-0.0585942,1.2159631,-0.7270271,-0.0585942,163.4153406,-177.3408501,-0.0138238,-0.1005151,82.4949293,-86.9537544,-0.0690821,-0.0436776,-0.7492309
0.8250000,0.8250000,0.8250000,-0.0574573,1.2122727,-0.7200416,-0.0574573,162.9602227,-176.7301725,-0.0135550,-0.0985737,82.2608395,-86.6616963,-0.0677414,-0.0428303,-0.7345677
0.8275000,0.8275000,0.8275000,-0.0563462,1.2086048,-0.7131466,-0.0563462,162.5074186,-176.1238960,-0.0132924,-0.0966760,82.0279785,-86.3717755,-0.0664312,-0.0420023,-0.7202436
0.8300000,0.8300000,0.8300000,-0.0552602,1.2049589,-0.7063407,-0.0552602,162.0569134,-175.5219725,-0.0130358,-0.0948207,81.7963380,-86.0839675,-0.0651506,-0.0411930,-0.7062495
0.8325000,0.8325000,0.8325000,-0.0541987,1.2013351,-0.6996224,-0.0541987,161.6086922,-174.9243544,-0.0127850,-0.0930069,81.5659098,-85.7982480,-0.0638989,-0.0404020,-0.6925765
0.8350000,0.8350000,0.8350000,-0.0531611,1.1977330,-0.6929903,-0.0531611,161.1627402,-174.3309951,-0.0125398,-0.0912335,81.3366856,-85.5145931,-0.0626753,-0.0396287,-0.6792161
0.8375000,0.8375000,0.8375000,-0.0521467,1.1941525,-0.6864431,-0.0521467,160.7190427,-173.7418485,-0.0123002,-0.0894994,81.1086572,-85.2329793,-0.0614792,-0.0388727,-0.6661599
0.8400000,0.8400000,0.8400000,-0.0511550,1.1905934,-0.6799792,-0.0511550,160.2775853,-173.1568692,-0.0120660,-0.0878037,80.8818166,-84.9533835,-0.0603098,-0.0381336,-0.6534000
0.8425000,0.8425000,0.8425000,-0.0501853,1.1870554,-0.6735974,-0.0501853,159.8383533,-172.5760126,-0.0118370,-0.0861455,80.6561557,-84.6757829,-0.0591664,-0.0374109,-0.6409285
0.8450000,0.8450000,0.8450000,-0.0492372,1.1835384,-0.6672964,-0.0492372,159.4013325,-171.9992345,-0.0116131,-0.0845237,80.4316663,-84.4001550,-0.0580484,-0.0367043,-0.6287378
0.8475000,0.8475000,0.8475000,-0.0483100,1.1800423,-0.6610748,-0.0483100,158.9665085,-171.4264915,-0.0113942,-0.0829375,80.2083407,-84.1264776,-0.0569551,-0.0360133,-0.6168207
0.8500000,0.8500000,0.8500000,-0.0474032,1.1765668,-0.6549315,-0.0474032,158.5338673,-170.8577410,-0.0111802,-0.0813860,79.9861707,-83.8547291,-0.0558859,-0.0353375,-0.6051700
0.8525000,0.8525000,0.8525000,-0.0465164,1.1731117,-0.6488651,-0.0465164,158.1033946,-170.2929406,-0.0109708,-0.0798684,79.7651486,-83.5848877,-0.0548403,-0.0346765,-0.5937789
0.8550000,0.8550000,0.8550000,-0.0456490,1.1696769,-0.6428745,-0.0456490,157.6750766,-169.7320490,-0.0107661,-0.0783837,79.5452665,-83.3169326,-0.0538175,-0.0340300,-0.5826405
0.8575000,0.8575000,0.8575000,-0.0448006,1.1662622,-0.6369584,-0.0448006,157.2488994,-169.1750250,-0.0105659,-0.0769312,79.3265167,-83.0508426,-0.0528171,-0.0333977,-0.5717485
0.8600000,0.8600000,0.8600000,-0.0439706,1.1628673,-0.6311157,-0.0439706,156.8248491,-168.6218283,-0.0103700,-0.0755101,79.1088915,-82.7865974,-0.0518384,-0.0327790,-0.5610965
0.8625000,0.8625000,0.8625000,-0.0431586,1.1594923,-0.6253452,-0.0431586,156.4029121,-168.0724191,-0.0101784,-0.0741197,78.8923831,-82.5241766,-0.0508810,-0.0321738,-0.5506783
0.8650000,0.8650000,0.8650000,-0.0423641,1.1561367,-0.6196459,-0.0423641,155.9830747,-167.5267582,-0.0099910,-0.0727591,78.6769840,-82.2635604,-0.0499443,-0.0315817,-0.5404881
0.8675000,0.8675000,0.8675000,-0.0415868,1.1528006,-0.6140165,-0.0415868,155.5653234,-166.9848068,-0.0098076,-0.0714276,78.4626866,-82.0047290,-0.0490278,-0.0310023,-0.5305200
0.8700000,0.8700000,0.8700000,-0.0408262,1.1494837,-0.6084560,-0.0408262,155.1496448,-166.4465268,-0.0096281,-0.0701246,78.2494834,-81.7476630,-0.0481310,-0.0304354,-0.5207685
0.8725000,0.8725000,0.8725000,-0.0400819,1.1461858,-0.6029634,-0.0400819,154.7360255,-165.9118806,-0.0094526,-0.0688493,78.0373669,-81.4923434,-0.0472534,-0.0298806,-0.5112282
0.8750000,0.8750000,0.8750000,-0.0393534,1.1429069,-0.5975376,-0.0393534,154.3244523,-165.3808311,-0.0092807,-0.0676011,77.8263297,-81.2387514,-0.0463945,-0.0293376,-0.5018936
0.8775000,0.8775000,0.8775000,-0.0386405,1.1396466,-0.5921776,-0.0386405,153.9149120,-164.8533416,-0.0091126,-0.0663793,77.6163645,-80.9868683,-0.0455539,-0.0288062,-0.4927597
0.8800000,0.8800000,0.8800000,-0.0379427,1.1364050,-0.5868823,-0.0379427,153.5073915,-164.3293762,-0.0089480,-0.0651833,77.4074640,-80.7366760,-0.0447312,-0.0282861,-0.4838215
0.8825000,0.8825000,0.8825000,-0.0372597,1.1331817,-0.5816508,-0.0372597,153.1018778,-163.8088992,-0.0087869,-0.0640125,77.1996209,-80.4881563,-0.0439259,-0.0277770,-0.4750742
0.8850000,0.8850000,0.8850000,-0.0365910,1.1299767,-0.5764822,-0.0365910,152.6983581,-163.2918754,-0.0086292,-0.0628662,76.9928280,-80.2412914,-0.0431375,-0.0272786,-0.4665131
0.8875000,0.8875000,0.8875000,-0.0359364,1.1267898,-0.5713754,-0.0359364,152.2968194,-162.7782704,-0.0084749,-0.0617439,76.7870781,-79.9960640,-0.0423658,-0.0267907,-0.4581334
0.8900000,0.8900000,0.8900000,-0.0352956,1.1236209,-0.5663295,-0.0352956,151.8972491,-162.2680498,-0.0083238,-0.0606450,76.5823642,-79.7524567,-0.0416102,-0.0263129,-0.4499309
0.8925000,0.8925000,0.8925000,-0.0346681,1.1204697,-0.5613436,-0.0346681,151.4996345,-161.7611800,-0.0081758,-0.0595689,76.3786792,-79.5104525,-0.0408703,-0.0258452,-0.4419012
0.8950000,0.8950000,0.8950000,-0.0340537,1.1173362,-0.5564168,-0.0340537,151.1039630,-161.2576278,-0.0080310,-0.0585152,76.1760160,-79.2700345,-0.0401459,-0.0253872,-0.4340401
0.8975000,0.8975000,0.8975000,-0.0334520,1.1142202,-0.5515482,-0.0334520,150.7102221,-160.7573604,-0.0078891,-0.0574832,75.9743678,-79.0311863,-0.0394366,-0.0249387,-0.4263435
