# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.7400000,0.7400000,0.7400000,-0.0820317,-0.0021726,-0.7604254,-0.0820317,-6.3629626,-14.0074331,-0.0202665,-0.1378248,-2.3889408,-4.6097968,-0.0967104,-0.0611525,-1.0242693
0.7425000,0.7425000,0.7425000,-0.0803087,-0.0021493,-0.7524508,-0.0803087,-6.2938665,-13.8378939,-0.0198355,-0.1349645,-2.3604301,-4.5432251,-0.0946787,-0.0598683,-1.0028532
0.7450000,0.7450000,0.7450000,-0.0786275,-0.0021264,-0.7445881,-0.0786275,-6.2259236,-13.6708419,-0.0194153,-0.1321720,-2.3323835,-4.4777989,-0.0926964,-0.0586152,-0.9819527
0.7475000,0.7475000,0.7475000,-0.0769870,-0.0021038,-0.7368354,-0.0769870,-6.1591063,-13.5062332,-0.0190054,-0.1294456,-2.3047905,-4.4134959,-0.0907621,-0.0573924,-0.9615539
0.7500000,0.7500000,0.7500000,-0.0753860,-0.0020815,-0.7291908,-0.0753860,-6.0933875,-13.3440248,-0.0186057,-0.1267835,-2.2776409,-4.3502939,-0.0888745,-0.0561991,-0.9416436
0.7525000,0.7525000,0.7525000,-0.0738236,-0.0020595,-0.7216522,-0.0738236,-6.0287411,-13.1841745,-0.0182158,-0.1241841,-2.2509247,-4.2881717,-0.0870324,-0.0550346,-0.9222087
0.7550000,0.7550000,0.7550000,-0.0722987,-0.0020379,-0.7142180,-0.0722987,-5.9651415,-13.0266411,-0.0178354,-0.1216457,-2.2246325,-4.2271081,-0.0852344,-0.0538979,-0.9032365
0.7575000,0.7575000,0.7575000,-0.0708102,-0.0020166,-0.7068862,-0.0708102,-5.9025641,-12.8713841,-0.0174644,-0.1191668,-2.1987548,-4.1670826,-0.0834794,-0.0527885,-0.8847149
0.7600000,0.7600000,0.7600000,-0.0693572,-0.0019956,-0.6996552,-0.0693572,-5.8409850,-12.7183640,-0.0171023,-0.1167458,-2.1732826,-4.1080751,-0.0817663,-0.0517054,-0.8666318
0.7625000,0.7625000,0.7625000,-0.0679388,-0.0019748,-0.6925232,-0.0679388,-5.7803808,-12.5675419,-0.0167491,-0.1143813,-2.1482070,-4.0500659,-0.0800939,-0.0506482,-0.8489756
